date,open,high,low,close,volume,change_percent,avg_vol_20d
2010/04/23,112.38,112.38,112.38,112.38,1,,
2010/04/26,113.4,113.65,113.4,113.63,3583,,
2010/04/27,112.78,112.78,111.3,111.3,33,,
2010/04/28,111.35,111.71,111.03,111.03,1581,,
2010/04/29,111.46,112.48,111.46,112.48,2784,,
2010/04/30,112.18,112.54,111.62,111.62,3560,,
2010/05/03,111.31,111.99,111.31,111.99,15,,
2010/05/04,112.26,112.26,110.12,110.23,48,,
2010/05/05,110.83,110.83,110.57,110.57,0,,
2010/05/06,110.6,111.54,110.13,110.13,38,,
2010/05/07,108.29,108.29,106.67,106.67,1000,,
2010/05/10,109.15,111.04,109.15,111.04,8249,,
2010/05/11,110.18,111.55,110.18,111.55,1000,,
2010/05/12,110.96,112.66,110.96,112.66,0,,
2010/05/13,113.46,113.85,113.43,113.43,30,,
2010/05/14,112.71,112.71,111.14,111.16,5015,,
2010/05/17,111.41,112.33,111.18,111.18,34,,
2010/05/18,111.69,111.83,111.69,111.83,0,,
2010/05/19,111.08,111.08,108.96,108.96,8521,,
2010/05/20,108.82,109.03,106.1,106.65,7843,,
2010/05/21,104.86,105.5,103.11,105.5,4595,,
2010/05/24,106.34,106.55,106.34,106.55,5,,
2010/05/25,103.92,104.3,103.81,104.3,7,,
2010/05/26,105.76,107.21,105.76,107.21,40,,
2010/05/27,108.4,108.4,108.4,108.4,0,,
2010/05/28,109.01,109.01,108.38,108.38,60,,
2010/05/31,108.73,108.73,108.59,108.59,251,,
2010/06/01,108.35,108.56,107.62,108.56,2000,,
2010/06/02,107.73,108.55,107.73,108.55,0,,
2010/06/03,109.83,110.38,109.83,110.38,0,,
2010/06/04,111.11,111.11,109.4,109.52,8175,,
2010/06/07,108.35,109.01,108.25,108.58,6066,,
2010/06/08,108.29,108.29,107.11,107.31,2500,,
2010/06/09,108.3,109,108.3,109,0,,
2010/06/10,108.19,109.26,108.19,109.26,29131,,
2010/06/11,109.9,110,109.38,109.77,23200,,
2010/06/14,110.8,110.8,110.57,110.57,18,,
2010/06/15,110.29,110.53,110.29,110.53,0,,
2010/06/16,111.18,111.4,110.91,111.4,1044,,
2010/06/17,111.37,111.37,110.94,110.94,0,,
2010/06/18,111.59,111.59,111.59,111.59,0,,
2010/06/21,112.62,112.77,112.49,112.49,35,,
2010/06/22,112.02,112.1,112.02,112.1,0,,
2010/06/23,110.75,110.75,110.45,110.45,0,,
2010/06/24,110.29,110.29,108.39,108.39,2169,,
2010/06/25,108.52,108.62,108.08,108.08,213,,
2010/06/28,108.41,108.87,108.41,108.87,4,,
2010/06/29,108.02,108.02,106.28,106.28,10000,,
2010/06/30,106.1,106.1,105.56,105.56,0,,
2010/07/01,104.43,104.43,101.9,101.9,1010,,
2010/07/02,102.78,102.78,101.66,101.66,95,,
2010/07/05,102.25,102.25,101.66,101.66,5,,
2010/07/06,102.05,103.47,102.05,103.47,0,,
2010/07/07,102.56,104.47,102.52,104.47,8000,,
2010/07/08,105.34,105.46,105.34,105.46,0,,
2010/07/09,105.82,106.44,105.82,106.44,11800,,
2010/07/12,106.62,107.03,106.62,107.03,4000,,
2010/07/13,107.29,108.57,107.29,108.13,2105,,
2010/07/14,108.54,108.67,107.71,108.04,20800,,
2010/07/15,107.69,107.69,105.85,105.85,0,,
2010/07/16,106.38,106.52,104.35,104.35,2728,,
2010/07/19,104.03,104.03,103.34,103.34,0,,
2010/07/20,103.81,103.89,103,103.89,70,,
2010/07/21,105.76,105.92,105.57,105.57,8000,,
2010/07/22,105.09,106.76,105,106.76,1900,,
2010/07/23,106.6,107.21,106.6,107.21,0,,
2010/07/26,107.35,107.58,107.01,107.58,38,,
2010/07/27,107.72,107.72,107.66,107.66,0,,
2010/07/28,107.93,107.93,107.23,107.3,16,,
2010/07/29,107.53,107.53,106.33,106.33,0,,
2010/07/30,106.38,106.47,106.38,106.47,0,,
2010/08/02,106.94,108.31,106.94,108.31,0,,
2010/08/03,107.93,107.93,107.91,107.91,0,,
2010/08/04,107.55,108.41,107.55,108.39,5305,,
2010/08/05,108.65,108.65,108.13,108.13,300,,
2010/08/06,108.48,108.48,106.39,106.39,0,,
2010/08/09,107.65,108.15,107.65,108.15,0,,
2010/08/10,107.98,107.98,107.9,107.9,0,,
2010/08/11,107.54,107.54,106.66,106.66,10,,
2010/08/12,106.27,106.61,106.27,106.46,10,,
2010/08/13,107.07,107.07,106.83,106.83,351,,
2010/08/16,106.88,106.88,106.23,106.49,19506,,
2010/08/17,106.95,107.88,106.95,107.88,1000,,
2010/08/18,107.7,107.7,107.37,107.57,2800,,
2010/08/19,108.29,108.29,106.22,106.22,5000,,
2010/08/20,106.59,106.59,106.38,106.38,0,,
2010/08/23,106.73,106.97,106.73,106.97,0,,
2010/08/24,106.27,106.27,105.48,105.48,0,,
2010/08/25,105.14,105.14,104.7,104.7,0,,
2010/08/26,105.21,105.35,105.18,105.35,2165,,
2010/08/27,105.08,105.71,105.08,105.71,0,,
2010/08/30,106.66,106.66,106.04,106.04,15,,
2010/08/31,104.87,105.52,104.87,105.52,2870,,
2010/09/01,106.03,107.79,105.68,107.79,580,,
2010/09/02,107.5,108.04,107.5,107.87,4000,,
2010/09/03,108.2,109.2,108.2,108.83,6274,,
2010/09/06,109.16,109.3,109.16,109.28,3000,,
2010/09/07,109.47,109.51,109.26,109.51,5017,,
2010/09/08,109.25,110.11,109.25,110.11,0,,
2010/09/09,110.12,111.08,110.12,111.08,10000,,
2010/09/10,110.72,110.8,110.5,110.76,5010,,
